ProjectID,sampleID,sampleName,libraryID,libraryType,Species
P2018006,No.1_1,CF1 肖胶质瘤-1 郭裂解液,SCR2018092904 SCR2018110201,scRNA-SCOPE,human
P2018006,No.1_2,CF2 肖胶质瘤-1 郭裂解液,SCR2018092905,scRNA-SCOPE,human
P2018006,No.1_3,CF3 肖胶质瘤-1 新格元裂解液,SCR2018092906 SCR2018110202,scRNA-SCOPE,human
P2018006,No.2_1,CF5 肖胶质瘤-2 新格元裂解液,SCR2018102501,scRNA-SCOPE,human
P2018006,No.2_2,CF6 肖胶质瘤-2 新格元裂解液,SCR2018102502,scRNA-SCOPE,human
P2018006,No.3_1,CF7 肖胶质瘤-3 新格元裂解液,SCR2018102503,scRNA-SCOPE,human
P2018006,No.3_2,CF8 肖胶质瘤-3 郭裂解液,SCR2018102504,scRNA-SCOPE,human
P2018006,No.4_1,CF15 肖4-3胶质瘤(fresh) 郭裂解液,SCR2018110107,scRNA-SCOPE,human
P2018006,No.4_2,CF16 肖4-3胶质瘤(fresh) 郭裂解液,SCR2018110108,scRNA-SCOPE,human
P2018006,No.5,CF17 肖4-4胶质瘤(fresh) 郭裂解液,SCR2018110109,scRNA-SCOPE,human
P2018006,No.6_1,CF20 肖5胶质瘤 郭裂解液,SCR2018110901,scRNA-SCOPE,human
P2018006,No.6_2,CF21 肖5胶质瘤 郭裂解液,SCR2018110902,scRNA-SCOPE,human
P2018006,No.7_1,CF28 肖7-1 郭裂解液,SCR2018112201,scRNA-SCOPE,human
P2018006,No.7_2,CF29 肖7-2 郭裂解液,SCR2018112202,scRNA-SCOPE,human
P2018006,No.8_1,CF35 肖8-1 郭裂解液,SCR2018112801,scRNA-SCOPE,human
P2018006,No.8_2,CF36 肖8-2 郭裂解液,SCR2018112802,scRNA-SCOPE,human
P2018006,No.9_1,CF37 肖9-1 郭裂解液,SCR2018112804,scRNA-SCOPE,human
P2018006,No.8_3,CF38 肖8-3 郭裂解液,SCR2018112805,scRNA-SCOPE,human
P2018006,No.9_2,CF39 肖9-2 郭裂解液,SCR2018112807,scRNA-SCOPE,human
P2018006,No.10_1,CF40 肖10-1 郭裂解液,SCR2018112809,scRNA-SCOPE,human
P2018006,No.10_2,CF41 肖10-2 郭裂解液,SCR2018112810,scRNA-SCOPE,human
P2018006,No.11_1,CF42 肖11-1 郭裂解液,SCR2018112813,scRNA-SCOPE,human
P2018006,No.11_2,CF43 肖11-2 郭裂解液,SCR2018112814,scRNA-SCOPE,human
RD2018014,BT41S1,CF18 肖4-3胶质瘤(24h) 新格元裂解液,SCR2018110110,scRNA-SCOPE,human
RD2018014,BT42S1,CF19 肖4-3胶质瘤(24h) 郭裂解液,SCR2018110111,scRNA-SCOPE,human
RD2018014,BT61S7,CF22 肖5胶质瘤（7天） 新格元裂解液,SCR2018112001,scRNA-SCOPE,human
RD2018014,BT62S7,CF22 肖5胶质瘤（7天） 新格元裂解液,SCR2018112002,scRNA-SCOPE,human
RD2018014,BT41S3,CF24 肖4-3胶质瘤（72h） 郭裂解液,SCR2018112003,scRNA-SCOPE,human
RD2018014,BT42S3,CF25 肖4-3胶质瘤（72h） 郭裂解液,SCR2018112004,scRNA-SCOPE,human
RD2018014,BT61S15,CF26 肖5胶质瘤（2周） 郭裂解液,SCR2018112005,scRNA-SCOPE,human
RD2018014,BT62S15,CF27 肖5胶质瘤（2周） 郭裂解液,SCR2018112006,scRNA-SCOPE,human
RD2018015,MG31,CF30 乳腺癌3-1,SCR2018112203,scRNA-SCOPE,human
RD2018015,MG32,CF31 乳腺癌3-2,SCR2018112204,scRNA-SCOPE,human
RD2018015,TG4,CF32 甲状腺4-1,SCR2018112205,scRNA-SCOPE,human
RD2018015,TG51,CF33 甲状腺5-1,SCR2018112206,scRNA-SCOPE,human
RD2018015,TG52,CF34 甲状腺5-2,SCR2018112207,scRNA-SCOPE,human
P2018007,Acr1_1,CF9 珊瑚-1 新格元裂解液,SCR2018110101,scRNA-SCOPE,others
P2018007,Acr1_2,CF10 珊瑚-1 新格元裂解液,SCR2018110102,scRNA-SCOPE,others
P2018007,Acr1_3,CF11 珊瑚-1 郭裂解液,SCR2018110103,scRNA-SCOPE,others
P2018007,Acr1_4,CF12 珊瑚-1 郭裂解液,SCR2018110104,scRNA-SCOPE,others
P2018007,Acr2_1,CF13 珊瑚-2 新格元裂解液,SCR2018110105,scRNA-SCOPE,others
P2018007,Acr2_2,CF14 珊瑚-2 郭裂解液,SCR2018110106,scRNA-SCOPE,others
P2018004,BT2S,CF4	汪脑瘤 新格元裂解液,SCR2018092907,scRNA-SCOPE,human
P2018004,BT1,ST14 汪Brain1,SCR-18083107,scRNA-10X,human
P2018004,BT2,ST18 汪Brain2,SCR-18092102,scRNA-10X,human
P2018003,NYPB1,ST11 PBMC2,PSCR-18081604,scRNA-SCOPE,human
P2018003,NYPB2,ST15 PBMC3,PSCR-18091201,scRNA-SCOPE,human
P2018005,D5,ST16,SCR-18091701,scRNA-10X,mouse
P2018005,D13,ST17,SCR-18092101,scRNA-10X,mouse
P2018005,2014,ST19,SCR-18101101,scRNA-10X,mouse
P2018005,Tm,ST20,SCR-18101102,scRNA-10X,mouse
